Time (s),1Hz,2Hz,4Hz,8Hz,16Hz,32Hz,64Hz,128Hz,256Hz,512Hz,1024Hz,2048Hz,4096Hz
0.0024,0.015079073,0.030154718,0.060282009,0.120344759,0.238940224,0.464038297,0.822104296,0.936108653,-0.658479321,0.99114152,0.263266949,-0.507959374,-0.875093135
0.0026,0.016335555,0.032666751,0.065298633,0.130318542,0.258414416,0.499274305,0.865186431,0.867696054,-0.862654947,0.872649469,-0.852311701,0.891576322,-0.807537175
0.0028,0.017592011,0.035178578,0.070313608,0.140279154,0.277784145,0.533703077,0.902675431,0.776882284,-0.978321437,0.405205413,-0.740898379,-0.995200111,0.19478219
0.003,0.01884844,0.037690183,0.075326806,0.150225589,0.297041582,0.567268949,0.934328942,0.666011867,-0.993611311,-0.224270761,0.437115767,0.786288432,0.971631733
0.0032,0.020104838,0.040201549,8.03E-02,0.160156842,0.31617894,0.59991765,0.959942337,0.537947128,-0.906955813,-0.76406633,0.985855979,-0.330448502,0.62377047
0.0034,0.021361205,0.042712662,0.085347365,0.170071909,0.335188485,0.631596393,0.979350032,0.395994293,-0.727245872,-0.998329739,0.115353243,-0.229166413,-0.446135334
0.0036,0.022617538,0.045223505,0.090354473,0.179969787,0.354062531,0.66225396,0.992426564,0.243818136,-0.472919883,-0.833384557,-0.921212569,0.716813258,-0.999617873
0.0038,0.023873836,0.047734062,0.095359299,0.189849477,0.372793449,0.691840783,0.999087398,0.085347365,-0.170071909,-0.335188485,-0.631596393,-0.979350032,-0.395994293
0.004,0.025130095,0.050244318,0.100361715,0.199709981,0.391373667,0.720309025,0.999289473,-0.075326806,0.150225589,0.297041582,0.567268949,0.934328942,0.666011867
0.0042,0.026386315,0.052754257,1.05E-01,0.2095503,0.409795674,0.747612658,0.993031482,-0.234056276,0.455109813,0.810491703,0.949491219,-0.595888539,0.957077023
0.0044,0.027642494,0.055263862,0.110358813,0.219369442,0.428052023,0.773707538,0.980353883,-0.386743152,0.71329938,0.999845249,-0.035178578,0.070313608,0.140279154
0.0046,0.028898629,0.057773118,0.115353243,0.229166413,0.446135334,0.798551473,0.961338631,-0.529445542,0.89830382,0.789384187,-0.969205127,0.477342809,-0.838898632
0.0048,0.030154718,0.060282009,0.120344759,0.238940224,0.464038297,0.822104296,0.936108653,-0.658479321,0.99114152,0.263266949,-0.507959374,-0.875093135,-0.847010607
0.005,0.031410759,0.06279052,0.125333234,0.248689887,0.481753674,0.844327926,0.904827052,-0.770513243,0.982287251,-0.368124553,0.684547106,0.998026728,0.125333234
0.0052,0.032666751,0.065298633,1.30E-01,0.258414416,0.499274305,0.865186431,0.867696054,-0.862654947,0.872649469,-0.852311701,0.891576322,-0.807537175,0.952597784
0.0054,0.033922691,0.067806335,0.135300557,0.268112829,0.516593106,0.884646086,0.824955698,-0.932525625,0.673477105,-0.995679439,-0.184911968,0.363446355,0.677184246
0.0056,0.035178578,0.070313608,0.140279154,0.277784145,0.533703077,0.902675431,0.776882284,-0.978321437,0.405205413,-0.740898379,-0.995200111,0.19478219,-0.382102866
0.0058,0.036434409,0.072820437,0.145254207,0.287427388,0.550597301,0.919245313,0.723786592,-0.99886008,0.095359299,-0.189849477,-0.372793449,-0.691840783,-0.999087398
0.006,0.037690183,0.075326806,0.150225589,0.297041582,0.567268949,0.934328942,0.666011867,-0.993611311,-0.224270761,0.437115767,0.786288432,0.971631733,-0.459579861
0.0062,0.038945897,0.077832699,1.55E-01,0.306625755,0.583711281,0.947901932,0.603931603,-0.962710636,-0.520890449,0.889288693,0.813425753,-0.946288695,0.611913632
0.0064,0.040201549,0.0803381,0.160156842,0.31617894,0.59991765,0.959942337,0.537947128,-0.906955813,-0.76406633,0.985855979,-0.330448502,0.62377047,0.975087448
0.0066,0.041457138,0.082842994,0.165116461,0.325700171,0.615881505,0.97043069,0.468485008,-0.827786256,-0.928848352,0.688202639,-0.998607525,-0.105361595,0.2095503
0.0068,0.042712662,0.085347365,0.170071909,0.335188485,0.631596393,0.979350032,0.395994293,-0.727245872,-0.998329739,0.115353243,-0.229166413,-0.446135334,-0.798551473
0.007,0.043968118,0.087851197,0.175023059,0.344642923,0.647055962,0.986685944,0.32094361,-0.607930298,-0.965381639,-0.503623202,0.870183755,0.857526656,-0.882291226
0.0072,0.045223505,0.090354473,1.80E-01,0.354062531,0.66225396,0.992426564,0.243818136,-0.472919883,-0.833384557,-0.921212569,0.716813258,-0.999617873,0.055263862
0.0074,0.04647882,0.092857179,0.184911968,0.363446355,0.677184246,0.996562611,0.165116461,-0.325700171,-0.615881505,-0.97043069,-0.468485008,0.827786256,0.928848352
0.0076,0.047734062,0.095359299,0.189849477,0.372793449,0.691840783,0.999087398,0.085347365,-0.170071909,-0.335188485,-0.631596393,-0.979350032,-0.395994293,0.727245872
0.0078,0.048989229,0.097860816,0.19478219,0.382102866,0.706217647,0.999996842,0.005026527,-0.010052927,-0.020104838,-0.040201549,-0.0803381,-0.160156842,-0.31617894
0.008,0.050244318,0.100361715,0.199709981,0.391373667,0.720309025,0.999289473,-0.075326806,0.150225589,0.297041582,0.567268949,0.934328942,0.666011867,-0.993611311
0.0082,0.051499328,0.10286198,2.05E-01,0.400604914,0.734109222,0.996966434,-0.155193176,0.306625755,0.583711281,0.947901932,0.603931603,-0.962710636,-0.520890449
0.0084,0.052754257,0.105361595,0.2095503,0.409795674,0.747612658,0.993031482,-0.234056276,0.455109813,0.810491703,0.949491219,-0.595888539,0.957077023,0.554786345
0.0086,0.054009102,0.107860545,0.21446258,0.418945018,0.760813876,0.987490979,-0.311406282,0.591844373,0.954114983,0.571401292,-0.937864712,-0.650880225,0.988271065
0.0088,0.055263862,0.110358813,0.219369442,0.428052023,0.773707538,0.980353883,-0.386743152,0.71329938,0.999845249,-0.035178578,0.070313608,0.140279154,0.277784145
0.009,0.056518534,0.112856385,0.224270761,0.437115767,0.786288432,0.971631733,-0.459579861,0.816339251,0.942990536,-0.627691361,0.977268124,0.414375581,-0.754251381
0.0092,0.057773118,0.115353243,2.29E-01,0.446135334,0.798551473,0.961338631,-0.529445542,0.89830382,0.789384187,-0.969205127,0.477342809,-0.838898632,-0.91320439
0.0094,0.05902761,0.117849373,0.234056276,0.455109813,0.810491703,0.949491219,-0.595888539,0.957077023,0.554786345,-0.92315655,-0.70976748,0.999971576,-0.015079073
0.0096,0.060282009,0.120344759,0.238940224,0.464038297,0.822104296,0.936108653,-0.658479321,0.99114152,0.263266949,-0.507959374,-0.875093135,-0.847010607,0.900501002
0.0098,0.061536313,0.122839384,0.243818136,0.472919883,0.833384557,0.921212569,-0.716813258,0.999617873,-0.055263862,0.110358813,0.219369442,0.428052023,0.773707538
0.01,0.06279052,0.125333234,0.248689887,0.481753674,0.844327926,0.904827052,-0.770513243,0.982287251,-0.368124553,0.684547106,0.998026728,0.125333234,-0.248689887
0.0102,0.064044627,1.28E-01,2.54E-01,0.490538777,0.854929979,0.886978595,-0.819232123,0.939597074,-0.643215349,0.985001105,0.339919998,-0.639358486,-0.983216719
0.0104,0.065298633,0.130318542,0.258414416,0.499274305,0.865186431,0.867696054,-0.862654947,0.872649469,-0.852311701,0.891576322,-0.807537175,0.952597784,-0.579622561
0.0106,0.066552537,0.132809969,0.263266949,0.507959374,0.875093135,0.847010607,-0.900501002,0.783172811,-0.973960142,0.441631129,-0.792459997,-0.96668057,0.494912793
0.0108,0.067806335,0.135300557,0.268112829,0.516593106,0.884646086,0.824955698,-0.932525625,0.673477105,-0.995679439,-0.184911968,0.363446355,0.677184246,0.996562611
0.011,0.069060026,0.137790291,0.272951936,0.52517463,0.893841424,0.801566985,-0.958521789,0.546394347,-0.915241173,-0.737513117,0.996133609,-0.175023059,0.344642923
0.0112,0.070313608,0.140279154,2.78E-01,0.533703077,0.902675431,0.776882284,-0.978321437,0.405205413,-0.740898379,-0.995200111,0.19478219,-0.382102866,-0.706217647
0.0114,0.071567079,0.142767131,0.282609337,0.542177587,0.911144535,0.750941506,-0.991796572,0.253555355,-0.490538777,-0.854929979,-0.886978595,0.819232123,-0.939597074
0.0116,0.072820437,0.145254207,0.287427388,0.550597301,0.919245313,0.723786592,-0.99886008,0.095359299,-0.189849477,-0.372793449,-0.691840783,-0.999087398,-0.085347365
0.0118,0.07407368,0.147740364,0.292238177,0.558961371,0.92697449,0.695461447,-0.999466299,-0.065298633,0.130318542,0.258414416,0.499274305,0.865186431,0.867696054
0.012,0.075326806,0.150225589,0.297041582,0.567268949,0.934328942,0.666011867,-0.993611311,-0.224270761,0.437115767,0.786288432,0.971631733,-0.459579861,0.816339251
0.0122,0.076579813,0.152709865,3.02E-01,0.575519197,0.941305697,0.635485468,-0.981332964,-0.377452926,0.69906454,0.999744191,0.045223505,-0.090354473,-0.179969787
0.0124,0.077832699,0.155193176,0.306625755,0.583711281,0.947901932,0.603931603,-0.962710636,-0.520890449,0.889288693,0.813425753,-0.946288695,0.611913632,-0.967955077
0.0126,0.079085462,0.157675507,0.311406282,0.591844373,0.954114983,0.571401292,-0.937864712,-0.650880225,0.988271065,0.301837482,-0.575519197,-0.941305697,-0.635485468
0.0128,0.0803381,0.160156842,0.31617894,0.59991765,0.959942337,0.537947128,-0.906955813,-0.76406633,0.985855979,-0.330448502,0.62377047,0.975087448,0.43258936
0.013,0.081590612,0.162637165,0.32094361,0.607930298,0.965381639,0.503623202,-0.870183755,-0.857526656,0.882291226,-0.830595899,0.925077207,-0.70264997,0.999921044
0.0132,0.082842994,0.165116461,3.26E-01,0.615881505,0.97043069,0.468485008,-0.827786256,-0.928848352,0.688202639,-0.998607525,-0.105361595,0.2095503,0.409795674
0.0134,0.084095246,0.167594714,0.330448502,0.62377047,0.975087448,0.43258936,-0.780037402,-0.976190118,0.423503871,-0.76729948,-0.984121345,0.34935714,-0.654688044
0.0136,0.085347365,0.170071909,0.335188485,0.631596393,0.979350032,0.395994293,-0.727245872,-0.998329739,0.115353243,-0.229166413,-0.446135334,-0.798551473,-0.961338631
0.0138,0.086599349,0.172548029,0.339919998,0.639358486,0.983216719,0.358758975,-0.669752947,-0.994695638,-0.204632726,0.400604914,0.734109222,0.996966434,-0.155193176
0.014,0.087851197,0.175023059,0.344642923,0.647055962,0.986685944,0.32094361,-0.607930298,-0.965381639,-0.503623202,0.870183755,0.857526656,-0.882291226,0.830595899
0.0142,0.089102905,0.177496984,3.49E-01,0.654688044,0.989756307,0.282609337,-0.542177587,-0.911144535,-0.750941506,0.991796572,-0.253555355,0.490538777,0.854929979
0.0144,0.090354473,0.179969787,0.354062531,0.66225396,0.992426564,0.243818136,-0.472919883,-0.833384557,-0.921212569,0.716813258,-0.999617873,0.055263862,-0.110358813
0.0146,0.091605899,0.182441454,0.358758975,0.669752947,0.994695638,0.204632726,-0.400604914,-0.734109222,-0.996966434,0.155193176,-0.306625755,-0.583711281,-0.947901932
0.0148,0.092857179,0.184911968,0.363446355,0.677184246,0.996562611,0.165116461,-0.325700171,-0.615881505,-0.97043069,-0.468485008,0.827786256,0.928848352,-0.688202639
0.015,0.094108313,0.187381315,0.368124553,0.684547106,0.998026728,0.125333234,-0.248689887,-0.481753674,-0.844327926,-0.904827052,0.770513243,-0.982287251,0.368124553
0.0152,0.095359299,0.189849477,3.73E-01,0.691840783,0.999087398,0.085347365,-0.170071909,-0.335188485,-0.631596393,-0.979350032,-0.395994293,0.727245872,0.998329739
0.0154,0.096610134,0.192316441,0.377452926,0.69906454,0.999744191,0.045223505,-0.090354473,-0.179969787,-0.354062531,-0.66225396,-0.992426564,-0.243818136,0.472919883
0.0156,0.097860816,0.19478219,0.382102866,0.706217647,0.999996842,0.005026527,-0.010052927,-0.020104838,-0.040201549,-0.0803381,-0.160156842,-0.31617894,-0.59991765
0.0158,0.099111344,0.197246708,0.386743152,0.71329938,0.999845249,-0.035178578,0.070313608,0.140279154,0.277784145,0.533703077,0.902675431,0.776882284,-0.978321437
0.016,0.100361715,0.199709981,0.391373667,0.720309025,0.999289473,-0.075326806,0.150225589,0.297041582,0.567268949,0.934328942,0.666011867,-0.993611311,-0.224270761
0.0162,0.101611928,0.202171992,3.96E-01,0.727245872,0.998329739,-0.115353243,0.229166413,0.446135334,0.798551473,0.961338631,-0.529445542,0.89830382,0.789384187
0.0164,0.10286198,0.204632726,0.400604914,0.734109222,0.996966434,-0.155193176,0.306625755,0.583711281,0.947901932,0.603931603,-0.962710636,-0.520890449,0.889288693
0.0166,0.10411187,0.207092167,0.405205413,0.740898379,0.995200111,-0.19478219,0.382102866,0.706217647,0.999996842,0.005026527,-0.010052927,-0.020104838,-0.040201549
0.0168,0.105361595,0.2095503,0.409795674,0.747612658,0.993031482,-0.234056276,0.455109813,0.810491703,0.949491219,-0.595888539,0.957077023,0.554786345,-0.92315655
0.017,0.106611154,0.21200711,0.414375581,0.754251381,0.990461426,-0.272951936,0.52517463,0.893841424,0.801566985,-0.958521789,0.546394347,-0.915241173,-0.737513117
0.0172,0.107860545,0.21446258,4.19E-01,0.760813876,0.987490979,-0.311406282,0.591844373,0.954114983,0.571401292,-0.937864712,-0.650880225,0.988271065,0.301837482
0.0174,0.109109765,0.216916696,0.423503871,0.76729948,0.984121345,-0.34935714,0.654688044,0.989756307,0.282609337,-0.542177587,-0.911144535,-0.750941506,0.991796572
0.0176,0.110358813,0.219369442,0.428052023,0.773707538,0.980353883,-0.386743152,0.71329938,0.999845249,-0.035178578,0.070313608,0.140279154,0.277784145,0.533703077
0.0178,0.111607687,0.221820802,0.43258936,0.780037402,0.976190118,-0.423503871,0.76729948,0.984121345,-0.34935714,0.654688044,0.989756307,0.282609337,-0.542177587
0.018,0.112856385,0.224270761,0.437115767,0.786288432,0.971631733,-0.459579861,0.816339251,0.942990536,-0.627691361,0.977268124,0.414375581,-0.754251381,-0.990461426
0.0182,0.114104904,0.226719303,4.42E-01,0.792459997,0.96668057,-0.494912793,0.860101667,0.87751469,-0.841623911,0.909061658,-0.757542198,0.98902618,-0.292238177
0.0184,0.115353243,0.229166413,0.446135334,0.798551473,0.961338631,-0.529445542,0.89830382,0.789384187,-0.969205127,0.477342809,-0.838898632,-0.91320439,0.744264921
0.0186,0.1166014,0.231612076,0.450628266,0.804562244,0.955608075,-0.563122274,0.930698746,0.680874277,-0.997345068,-0.145254207,0.287427388,0.550597301,0.919245313
0.0188,0.117849373,0.234056276,0.455109813,0.810491703,0.949491219,-0.595888539,0.957077023,0.554786345,-0.92315655,-0.70976748,0.999971576,-0.015079073,0.030154718
0.019,0.11909716,0.236498997,0.459579861,0.816339251,0.942990536,-0.627691361,0.977268124,0.414375581,-0.754251381,-0.990461426,0.272951936,-0.52517463,-0.893841424
0.0192,0.120344759,0.238940224,4.64E-01,0.822104296,0.936108653,-0.658479321,0.99114152,0.263266949,-0.507959374,-0.875093135,-0.847010607,0.900501002,-0.783172811
0.0194,0.121592167,0.241379943,0.468485008,0.827786256,0.928848352,-0.688202639,0.998607525,0.105361595,-0.2095503,-0.409795674,-0.747612658,-0.993031482,0.234056276
0.0196,0.122839384,0.243818136,0.472919883,0.833384557,0.921212569,-0.716813258,0.999617873,-0.055263862,0.110358813,0.219369442,0.428052023,0.773707538,0.980353883
0.0198,0.124086407,0.246254789,0.477342809,0.838898632,0.91320439,-0.744264921,0.994166034,-0.21446258,0.418945018,0.760813876,0.987490979,-0.311406282,0.591844373
0.02,0.125333234,0.248689887,0.481753674,0.844327926,0.904827052,-0.770513243,0.982287251,-0.368124553,0.684547106,0.998026728,0.125333234,-0.248689887,-0.481753674
0.0202,0.126579862,2.51E-01,4.86E-01,0.849671888,0.896083943,-0.795515785,0.964058316,-0.512282712,0.879914074,0.836152158,-0.91725483,0.730686778,-0.997698502
0.0204,0.127826291,0.253555355,0.490538777,0.854929979,0.886978595,-0.819232123,0.939597074,-0.643215349,0.985001105,0.339919998,-0.639358486,-0.983216719,-0.358758975
0.0206,0.129072518,0.255985694,0.494912793,0.860101667,0.87751469,-0.841623911,0.909061658,-0.757542198,0.98902618,-0.292238177,0.558961371,0.92697449,0.695461447
0.0208,0.130318542,0.258414416,0.499274305,0.865186431,0.867696054,-0.862654947,0.872649469,-0.852311701,0.891576322,-0.807537175,0.952597784,-0.579622561,0.944651549
0.021,0.131564359,0.260841506,0.503623202,0.870183755,0.857526656,-0.882291226,0.830595899,-0.925077207,0.70264997,-0.999921044,-0.025130095,0.050244318,0.100361715
0.0212,0.132809969,0.263266949,5.08E-01,0.875093135,0.847010607,-0.900501002,0.783172811,-0.973960142,0.441631129,-0.792459997,-0.96668057,0.494912793,-0.860101667
0.0214,0.134055369,0.265690728,0.512282712,0.879914074,0.836152158,-0.91725483,0.730686778,-0.997698502,0.135300557,-0.268112829,-0.516593106,-0.884646086,-0.824955698
0.0216,0.135300557,0.268112829,0.516593106,0.884646086,0.824955698,-0.932525625,0.673477105,-0.995679439,-0.184911968,0.363446355,0.677184246,0.996562611,0.165116461
0.0218,0.136545532,0.270533237,0.520890449,0.889288693,0.813425753,-0.946288695,0.611913632,-0.967955077,-0.486152367,0.849671888,0.896083943,-0.795515785,0.964058316
0.022,0.137790291,0.272951936,0.52517463,0.893841424,0.801566985,-0.958521789,0.546394347,-0.915241173,-0.737513117,0.996133609,-0.175023059,0.344642923,0.647055962
0.0222,0.139034832,0.27536891,5.29E-01,0.89830382,0.789384187,-0.969205127,0.477342809,-0.838898632,-0.91320439,0.744264921,-0.994166034,0.21446258,-0.418945018
0.0224,0.140279154,0.277784145,0.533703077,0.902675431,0.776882284,-0.978321437,0.405205413,-0.740898379,-0.995200111,0.19478219,-0.382102866,-0.706217647,-0.999996842
0.0226,0.141523254,0.280197626,0.537947128,0.906955813,0.76406633,-0.985855979,0.330448502,-0.62377047,-0.975087448,-0.43258936,0.780037402,0.976190118,-0.423503871
0.0228,0.142767131,0.282609337,0.542177587,0.911144535,0.750941506,-0.991796572,0.253555355,-0.490538777,-0.854929979,-0.886978595,0.819232123,-0.939597074,0.643215349
0.023,0.144010783,0.285019262,0.546394347,0.915241173,0.737513117,-0.996133609,0.175023059,-0.344642923,-0.647055962,-0.986685944,-0.32094361,0.607930298,0.965381639
0.0232,0.145254207,0.287427388,5.51E-01,0.919245313,0.723786592,-0.99886008,0.095359299,-0.189849477,-0.372793449,-0.691840783,-0.999087398,-0.085347365,0.170071909
0.0234,0.146497401,0.289833698,0.554786345,0.92315655,0.70976748,-0.999971576,0.015079073,-0.030154718,-0.060282009,-0.120344759,-0.238940224,-0.464038297,-0.822104296
0.0236,0.147740364,0.292238177,0.558961371,0.92697449,0.695461447,-0.999466299,-0.065298633,0.130318542,0.258414416,0.499274305,0.865186431,0.867696054,-0.862654947
0.0238,0.148983094,0.29464081,0.563122274,0.930698746,0.680874277,-0.997345068,-0.145254207,0.287427388,0.550597301,0.919245313,0.723786592,-0.99886008,0.095359299
0.024,0.150225589,0.297041582,0.567268949,0.934328942,0.666011867,-0.993611311,-0.224270761,0.437115767,0.786288432,0.971631733,-0.459579861,0.816339251,0.942990536
0.0242,0.151467847,0.299440477,5.71E-01,0.937864712,0.650880225,-0.988271065,-0.301837482,0.575519197,0.941305697,0.635485468,-0.981332964,-0.377452926,0.69906454
0.0244,0.152709865,0.301837482,0.575519197,0.941305697,0.635485468,-0.981332964,-0.377452926,0.69906454,0.999744191,0.045223505,-0.090354473,-0.179969787,-0.354062531
0.0246,0.153951642,0.304232579,0.579622561,0.944651549,0.619833818,-0.972808227,-0.450628266,0.804562244,0.955608075,-0.563122274,0.930698746,0.680874277,-0.997345068
0.0248,0.155193176,0.306625755,0.583711281,0.947901932,0.603931603,-0.962710636,-0.520890449,0.889288693,0.813425753,-0.946288695,0.611913632,-0.967955077,-0.486152367
0.025,0.156434465,0.309016994,0.587785252,0.951056516,0.587785252,-0.951056516,-0.587785252,0.951056516,0.587785252,-0.951056516,-0.587785252,0.951056516,0.587785252
0.0252,0.157675507,0.311406282,5.92E-01,0.954114983,0.571401292,-0.937864712,-0.650880225,0.988271065,0.301837482,-0.575519197,-0.941305697,-0.635485468,0.981332964
0.0254,0.1589163,0.313793602,0.595888539,0.957077023,0.554786345,-0.92315655,-0.70976748,0.999971576,-0.015079073,0.030154718,0.060282009,0.120344759,0.238940224
0.0256,0.160156842,0.31617894,0.59991765,0.959942337,0.537947128,-0.906955813,-0.76406633,0.985855979,-0.330448502,0.62377047,0.975087448,0.43258936,-0.780037402
0.0258,0.161397131,0.318562281,0.603931603,0.962710636,0.520890449,-0.889288693,-0.813425753,0.946288695,-0.611913632,0.967955077,0.486152367,-0.849671888,-0.896083943
0.026,0.162637165,0.32094361,0.607930298,0.965381639,0.503623202,-0.870183755,-0.857526656,0.882291226,-0.830595899,0.925077207,-0.70264997,0.999921044,0.025130095
0.0262,0.163876943,0.323322911,6.12E-01,0.967955077,0.486152367,-0.849671888,-0.896083943,0.795515785,-0.964058316,0.512282712,-0.879914074,-0.836152158,0.91725483
0.0264,0.165116461,0.325700171,0.615881505,0.97043069,0.468485008,-0.827786256,-0.928848352,0.688202639,-0.998607525,-0.105361595,0.2095503,0.409795674,0.747612658
0.0266,0.166355719,0.328075373,0.619833818,0.972808227,0.450628266,-0.804562244,-0.955608075,0.563122274,-0.930698746,-0.680874277,0.997345068,0.145254207,-0.287427388
0.0268,0.167594714,0.330448502,0.62377047,0.975087448,0.43258936,-0.780037402,-0.976190118,0.423503871,-0.76729948,-0.984121345,0.34935714,-0.654688044,-0.989756307
0.027,0.168833445,0.332819545,0.627691361,0.977268124,0.414375581,-0.754251381,-0.990461426,0.272951936,-0.52517463,-0.893841424,-0.801566985,0.958521789,-0.546394347
0.0272,0.170071909,0.335188485,6.32E-01,0.979350032,0.395994293,-0.727245872,-0.998329739,0.115353243,-0.229166413,-0.446135334,-0.798551473,-0.961338631,0.529445542
0.0274,0.171310104,0.337555307,0.635485468,0.981332964,0.377452926,-0.69906454,-0.999744191,-0.045223505,0.090354473,0.179969787,0.354062531,0.66225396,0.992426564
0.0276,0.172548029,0.339919998,0.639358486,0.983216719,0.358758975,-0.669752947,-0.994695638,-0.204632726,0.400604914,0.734109222,0.996966434,-0.155193176,0.306625755
0.0278,0.173785681,0.342282542,0.643215349,0.985001105,0.339919998,-0.639358486,-0.983216719,-0.358758975,0.669752947,0.994695638,0.204632726,-0.400604914,-0.734109222
0.028,0.175023059,0.344642923,0.647055962,0.986685944,0.32094361,-0.607930298,-0.965381639,-0.503623202,0.870183755,0.857526656,-0.882291226,0.830595899,-0.925077207
0.0282,0.17626016,0.347001128,6.51E-01,0.988271065,0.301837482,-0.575519197,-0.941305697,-0.635485468,0.981332964,0.377452926,-0.69906454,-0.999744191,-0.045223505
0.0284,0.177496984,0.34935714,0.654688044,0.989756307,0.282609337,-0.542177587,-0.911144535,-0.750941506,0.991796572,-0.253555355,0.490538777,0.854929979,0.886978595
0.0286,0.178733527,0.351710946,0.658479321,0.99114152,0.263266949,-0.507959374,-0.875093135,-0.847010607,0.900501002,-0.783172811,0.973960142,-0.441631129,0.792459997
0.0288,0.179969787,0.354062531,0.66225396,0.992426564,0.243818136,-0.472919883,-0.833384557,-0.921212569,0.716813258,-0.999617873,0.055263862,-0.110358813,-0.219369442
0.029,0.181205764,0.356411879,0.666011867,0.993611311,0.224270761,-0.437115767,-0.786288432,-0.971631733,0.459579861,-0.816339251,-0.942990536,0.627691361,-0.977268124
0.0292,0.182441454,0.358758975,6.70E-01,0.994695638,0.204632726,-0.400604914,-0.734109222,-0.996966434,0.155193176,-0.306625755,-0.583711281,-0.947901932,-0.603931603
0.0294,0.183676856,0.361103806,0.673477105,0.995679439,0.184911968,-0.363446355,-0.677184246,-0.996562611,-0.165116461,0.325700171,0.615881505,0.97043069,0.468485008
0.0296,0.184911968,0.363446355,0.677184246,0.996562611,0.165116461,-0.325700171,-0.615881505,-0.97043069,-0.468485008,0.827786256,0.928848352,-0.688202639,0.998607525
0.0298,0.186146788,0.365786609,0.680874277,0.997345068,0.145254207,-0.287427388,-0.550597301,-0.919245313,-0.723786592,0.99886008,-0.095359299,0.189849477,0.372793449
0.03,0.187381315,0.368124553,0.684547106,0.998026728,0.125333234,-0.248689887,-0.481753674,-0.844327926,-0.904827052,0.770513243,-0.982287251,0.368124553,-0.684547106
0.0302,0.188615545,3.70E-01,6.88E-01,0.998607525,0.105361595,-0.2095503,-0.409795674,-0.747612658,-0.993031482,0.234056276,-0.455109813,-0.810491703,-0.949491219
0.0304,0.189849477,0.372793449,0.691840783,0.999087398,0.085347365,-0.170071909,-0.335188485,-0.631596393,-0.979350032,-0.395994293,0.727245872,0.998329739,-0.115353243
0.0306,0.19108311,0.375124372,0.695461447,0.999466299,0.065298633,-0.130318542,-0.258414416,-0.499274305,-0.865186431,-0.867696054,0.862654947,-0.872649469,0.852311701
0.0308,0.192316441,0.377452926,0.69906454,0.999744191,0.045223505,-0.090354473,-0.179969787,-0.354062531,-0.66225396,-0.992426564,-0.243818136,0.472919883,0.833384557
0.031,0.193549468,0.379779096,0.70264997,0.999921044,0.025130095,-0.050244318,-0.100361715,-0.199709981,-0.391373667,-0.720309025,-0.999289473,0.075326806,-0.150225589
0.0312,0.19478219,0.382102866,7.06E-01,0.999996842,0.005026527,-0.010052927,-0.020104838,-0.040201549,-0.0803381,-0.160156842,-0.31617894,-0.59991765,-0.959942337
0.0314,0.196014604,0.384424223,0.70976748,0.999971576,-0.015079073,0.030154718,0.060282009,0.120344759,0.238940224,0.464038297,0.822104296,0.936108653,-0.658479321
0.0316,0.197246708,0.386743152,0.71329938,0.999845249,-0.035178578,0.070313608,0.140279154,0.277784145,0.533703077,0.902675431,0.776882284,-0.978321437,0.405205413
0.0318,0.198478501,0.389059638,0.716813258,0.999617873,-0.055263862,0.110358813,0.219369442,0.428052023,0.773707538,0.980353883,-0.386743152,0.71329938,0.999845249
